,datetime,Kp,status
0,2016-01-01 00:00:00+00:00,6,def
1,2016-01-01 03:00:00+00:00,5.333,def
2,2016-01-01 06:00:00+00:00,5,def
3,2016-01-01 09:00:00+00:00,3.333,def
4,2016-01-01 12:00:00+00:00,1.667,def
5,2016-01-01 15:00:00+00:00,1,def
6,2016-01-01 18:00:00+00:00,2,def
7,2016-01-01 21:00:00+00:00,1.667,def
8,2016-01-02 00:00:00+00:00,3,def
9,2016-01-02 03:00:00+00:00,2.333,def
10,2016-01-02 06:00:00+00:00,3,def
11,2016-01-02 09:00:00+00:00,2.333,def
12,2016-01-02 12:00:00+00:00,2.333,def
13,2016-01-02 15:00:00+00:00,1.667,def
14,2016-01-02 18:00:00+00:00,1.667,def
15,2016-01-02 21:00:00+00:00,1.333,def
16,2016-01-03 00:00:00+00:00,0.333,def
17,2016-01-03 03:00:00+00:00,1.667,def
18,2016-01-03 06:00:00+00:00,2,def
19,2016-01-03 09:00:00+00:00,0.667,def
20,2016-01-03 12:00:00+00:00,1.333,def
21,2016-01-03 15:00:00+00:00,2.333,def
22,2016-01-03 18:00:00+00:00,1.667,def
23,2016-01-03 21:00:00+00:00,2.667,def
24,2016-01-04 00:00:00+00:00,0.333,def
25,2016-01-04 03:00:00+00:00,1.667,def
26,2016-01-04 06:00:00+00:00,1.667,def
27,2016-01-04 09:00:00+00:00,0.667,def
28,2016-01-04 12:00:00+00:00,0.667,def
29,2016-01-04 15:00:00+00:00,2,def
30,2016-01-04 18:00:00+00:00,1.667,def
31,2016-01-04 21:00:00+00:00,0.667,def
32,2016-01-05 00:00:00+00:00,0.333,def
33,2016-01-05 03:00:00+00:00,1,def
34,2016-01-05 06:00:00+00:00,1,def
35,2016-01-05 09:00:00+00:00,1.667,def
36,2016-01-05 12:00:00+00:00,1,def
37,2016-01-05 15:00:00+00:00,2,def
38,2016-01-05 18:00:00+00:00,2.333,def
39,2016-01-05 21:00:00+00:00,2,def
40,2016-01-06 00:00:00+00:00,4.667,def
41,2016-01-06 03:00:00+00:00,2.667,def
42,2016-01-06 06:00:00+00:00,3,def
43,2016-01-06 09:00:00+00:00,3.333,def
44,2016-01-06 12:00:00+00:00,2.667,def
45,2016-01-06 15:00:00+00:00,2.333,def
46,2016-01-06 18:00:00+00:00,2.333,def
47,2016-01-06 21:00:00+00:00,3.333,def
48,2016-01-07 00:00:00+00:00,4,def
49,2016-01-07 03:00:00+00:00,2.667,def
50,2016-01-07 06:00:00+00:00,2.667,def
51,2016-01-07 09:00:00+00:00,3.333,def
52,2016-01-07 12:00:00+00:00,2.667,def
53,2016-01-07 15:00:00+00:00,2.667,def
54,2016-01-07 18:00:00+00:00,2.333,def
55,2016-01-07 21:00:00+00:00,1.333,def
56,2016-01-08 00:00:00+00:00,1,def
57,2016-01-08 03:00:00+00:00,2.333,def
58,2016-01-08 06:00:00+00:00,1.667,def
59,2016-01-08 09:00:00+00:00,2.333,def
60,2016-01-08 12:00:00+00:00,3,def
61,2016-01-08 15:00:00+00:00,1.333,def
62,2016-01-08 18:00:00+00:00,1.333,def
63,2016-01-08 21:00:00+00:00,1.333,def
64,2016-01-09 00:00:00+00:00,1.667,def
